,name,id,category,address,lat,lng,city,state,rating,price_tier,serves,bucket,big_bucket,image_url,like_counts
73,Fish Grill,4b4e5715f964a52005ea26e3,'seafood restaurant',22935 Pacific Coast Hwy,34.03810428,-118.675803,Malibu,CA,7.6,2,,3,1,https://fastly.4sqi.net/img/general/300x500/E35cHqtn2LXUvHI2Ager3PQhuUlVbXbiGh4nBZYldMY.jpg,19
74,Duke's Malibu,3fd66200f964a520e1ef1ee3,'seafood restaurant',21150 Pacific Coast Hwy,34.03642891,-118.63545330000001,Malibu,CA,8.3,3,"Happy Hour, Brunch & more",3,1,https://fastly.4sqi.net/img/general/300x500/33315653_wtiCLXj_dwP17Fehwi0PyUweZgM2zZllY5ltZMhEyIo.jpg,459
75,The Country Kitchen,4a5be975f964a520fbbb1fe3,'burger joint',21239 Pacific Coast Hwy,34.0372934,-118.6376997,Malibu,CA,8.3,2,Brunch & Lunch,0,1,https://fastly.4sqi.net/img/general/300x500/464950239_H7MFKkZuomCdUjdfqq1iYwulHhWhdCR4KaUF7eBhRM4.jpg,32
76,Saddle Peak Lodge,4b65e939f964a520cb072be3,'american restaurant',419 Cold Canyon Rd,34.07812953,-118.6931861,Calabasas,CA,8.8,4,"Happy Hour, Lunch & more",3,1,https://fastly.4sqi.net/img/general/300x500/1377624_bTboSlqs7GZiX-9giSwyyFox6E4cw0ZOiho923HJFqU.jpg,37
77,Malibu Farm Restaurant & Bar,5acac5fa92e7a9371329504e,'american restaurant',23000 Pacific Coast Hwy,34.03710997,-118.6765169,Malibu,CA,7.4,2,"Dinner, Lunch & more",3,1,https://fastly.4sqi.net/img/general/300x500/39216817_KQyBqNSJ2f_Os0p3c8YrfCsWqgWzqbtVxzYA7ewCVT8.jpg,18
78,Malibu Seafood Fresh Fish Market & Patio Cafe,4a1c2f8df964a5201d7b1fe3,'seafood restaurant',25653 Pacific Coast Hwy,34.03368334,-118.7350347,Malibu,CA,8.9,2,"Dessert, Brunch & more",3,1,https://fastly.4sqi.net/img/general/300x500/1093966_rv0OUjVlgHfI_WVC7PN5vyHW2wWSRtCm8c4PxtVwtmI.jpg,408
79,Moonshadows,43655e80f964a52067291fe3,'new american restaurant',20356 Pacific Coast Hwy,34.03755253,-118.61841299999999,Malibu,CA,8.8,3,"Happy Hour, Brunch & more",3,1,https://fastly.4sqi.net/img/general/300x500/734855_v8yVsbubc2Tiusxz0q43C6xcga3IoYIgZp_d-2EEP0Y.jpg,335
80,Ruby's Diner,4ac8179ef964a5209abb20e3,'diner',23000 Pacific Coast Hwy,34.03559954,-118.6756173,Malibu,CA,7.2,1,,3,1,https://fastly.4sqi.net/img/general/300x500/6pgmCaoRYZm0XjbQUmNzvgEo5kuLbNEriFPnLHuqDxY.jpg,1
81,D'Amore's Pizza,4b7ef542f964a520470c30e3,'pizza place',22601 Pacific Coast Hwy,34.03969778,-118.66687809999999,Malibu,CA,7.2,1,,5,1,https://fastly.4sqi.net/img/general/300x500/2206325_bxG-bpmE8Zcd3sXFId2neLD_0shrMOPeAaxgHRV-M4Y.jpg,10
82,Cholada Thai,4aff60e5f964a520f03722e3,'thai restaurant',18763 Pacific Coast Hwy,34.03904084,-118.5839845,Malibu,CA,9.1,2,"Happy Hour, Brunch & more",9,1,https://fastly.4sqi.net/img/general/300x500/22731_DvC8TeMNaqQkkkBIQkyZZJjsTrKWi_ozJVHlc2s95Y0.jpg,105
83,Reel Inn,3fd66200f964a520cbf01ee3,'seafood restaurant',18661 Pacific Coast Hwy,34.039806,-118.581678,Malibu,CA,8.8,2,"Dinner, Lunch & more",3,1,https://fastly.4sqi.net/img/general/300x500/BiN8urDlsY7ezaujgQ7keMOMnjWPnCFvsIO059EeWM8.jpg,229
